SchoolID,ClassID,Subject,StudentID,QuestionID,Question,Reference,Answer,Student Score,Max Score,Year,score_ratio,score_discrete,answer_clean,reference_clean,answer_seg,reference_seg,answer_len_chars,reference_len_chars,answer_len_words,reference_len_words
AS,10C,Biology,S001,Q1,តើអាមីបរស់នៅកន្លែងណា ?វាបង្កជំងឺអ្វី?,"អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត","អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត",3,8,2026,0.375,2,អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ វាបង្កជំងឺដូចជា ជំងឺរាគមួល ធ្យ្វើឲយើងចុកពោះដោយផឹកទឹកមិនស្អាត,អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ វាបង្កជំងឺដូចជា ជំងឺរាគមួល ធ្យ្វើឲយើងចុកពោះដោយផឹកទឹកមិនស្អាត,អាមីប រស់ នៅ កន្លែង ដូចជា ស្ទឹង បឹង អូរ ត្រពាំង ទន្លេ ទឹកជ្រោះ   វា បង្ក ជំងឺ ដូចជា   ជំងឺ រាគមួល   ធ្យ្វើឲ យើង ចុក ពោះ ដោយ ផឹក ទឹក មិន ស្អាត,អាមីប រស់ នៅ កន្លែង ដូចជា ស្ទឹង បឹង អូរ ត្រពាំង ទន្លេ ទឹកជ្រោះ   វា បង្ក ជំងឺ ដូចជា   ជំងឺ រាគមួល   ធ្យ្វើឲ យើង ចុក ពោះ ដោយ ផឹក ទឹក មិន ស្អាត,113,113,26,26
AS,10C,Biology,S001,Q2,តើគេចែកប្រូទីសជាប៉ុន្មានក្រុម?អ្វីខ្លះ? ,"ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា 
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយជើងបញ្ឆោត: អាមីប
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយផ្លាសែល : សាឌីយ៉ា
+ប្រូតូសូអ៊ែបន្តពូជតាមរយ:ស្ប៉ :ស្ប៉រ៉ូសូអ៊ែ។","គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ 
-ប្រូតូសូអ៊ែ ផ្លាស់ទីតាមរយៈស្ប៉(ប្លាស្លូស្យូម)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយរោមញ័រ(ប៉ារ៉ាមេសុី)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយជើងបញ្ឆោត(អាមីប)",7,8,2026,0.875,4,គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ ប្រូតូសូអែ៊ ផ្លាស់ទីតាមរយៈស្ប៉ ប្លាស្លូស្យូម ប្រូតូសូអែ៊ ផ្លាស់ទីដោយរោមញ័រ បា៉រា៉មេសុី ប្រូតូសូអែ៊ ផ្លាស់ទីដោយជើងបញ្ឆោត អាមីប,ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា ប្រូតូសូអែ៊ផ្លាស់ទីដោយជើងបញ្ឆោត អាមីប ប្រូតូសូអែ៊ផ្លាស់ទីដោយផ្លាសែល សាឌីយា៉ ប្រូតូសូអែ៊បន្តពូជតាមរយ ស្ប៉ ស្ប៉រូ៉សូអែ៊,គេ ចែក ប្រូទី ស សត្វ ជា   4   ក្រុម គឺ   ប្រូតូ សូអែ៊   ផ្លាស់ទី តាមរយៈ ស្ប៉   ប្លាស្លូស្យូម   ប្រូតូ សូអែ៊   ផ្លាស់ទី ដោយ រោម ញ័រ   បា៉រា៉ មេសុី   ប្រូតូ សូអែ៊   ផ្លាស់ទី ដោយ ជើង បញ្ឆោត   អាមីប,ប្រូទី ស សត្វ ចែក ជា   4   ក្រុម តាម របៀប រស់ នៅ នឹង ផ្លាស់ទី របស់ វា   ប្រូតូ សូអែ៊ ផ្លាស់ទី ដោយ ជើង បញ្ឆោត   អាមីប   ប្រូតូ សូអែ៊ ផ្លាស់ទី ដោយ ផ្លាសែល   សាឌីយា៉   ប្រូតូ សូអែ៊ បន្ត ពូជ តាមរយ   ស្ប៉   ស្ប៉រូ៉ សូអែ៊,154,171,30,36
AS,10C,Biology,S001,Q3,តើផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងអ្វី? ស្រូបសារធាតុចិញ្ចឹមតាមរយៈអ្វី?,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា។ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ។,"ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា។
+ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី។",8,10,2026,0.8,3,ផ្សិតមានរូបរាងខុស គ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី,ផ្សិតមានរូបរាងខុស គ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ,ផ្សិត មាន រូបរាង ខុស   គ្នា អាស្រ័យ ទៅ លើ ការតម្រៀប អុីប របស់ វា   ហើយ វា ស្រូប សារធាតុ ចិញ្ចិម តាមរយៈ អុីប ក្រោម ដី,ផ្សិត មាន រូបរាង ខុស   គ្នា អាស្រ័យ នឹង ការតម្រៀប អុីប របស់ វា   ផ្សិត ស្រូប សារធាតុ ចិញ្ចឹម តាមរយ   អុីប ដែល ដុះ ចូល ទៅក្នុង ប្រភព អាហារ,94,112,21,23
AS,10C,Biology,S001,Q4,ចូរប្រៀបធៀបលក្ខណៈខុសគ្នានៃផ្សិត និងរុក្ខជាតិ។,"លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ
+ផ្សិត 
-ផ្សិតបន្តពូជតាមរយៈស្ប៉
-ផ្សិតមិនធ្វើរស្មីសំយោគ
-អុីប
-វារស់នៅកន្លែងសើម
+រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-វាត្រូវការធ្វើរស្មីសំយោគ
-វារស់នៅកន្លែងដែលមានពន្លឺ","ផ្សិត
-បន្តពូជតាមរយៈស្ប៉
-ភាវៈរស់បជីព
-មានអុីប
-អុីបក្រោមដី
រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-ភាវៈស្វ័យជីព
-មានឬស
-រុក្ខជាតិធ្វើរស្មីសំយោគ",7,12,2026,0.5833333333333334,2,ផ្សិត បន្តពូជតាមរយៈស្ប៉ ភាវៈរស់បជីព មានអុីប អុីបក្រោមដី រុក្ខជាតិ បន្តពូជដោយគ្រាប់ ភាវៈស្វ័យជីព មានឬស រុក្ខជាតិធ្វើរស្មីសំយោគ,លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ ផ្សិត ផ្សិតបន្តពូជតាមរយៈស្ប៉ ផ្សិតមិនធ្វើរស្មីសំយោគ អុីប វារស់នៅកន្លែងសើម រុក្ខជាតិ បន្តពូជដោយគ្រាប់ វាត្រូវការធ្វើរស្មីសំយោគ វារស់នៅកន្លែងដែលមានពន្លឺ,ផ្សិត   បន្ត ពូជ តាមរយៈ ស្ប៉   ភាវៈ រស់ បជីព   មាន អុីប   អុីប ក្រោម ដី   រុក្ខជាតិ   បន្ត ពូជ ដោយ គ្រាប់   ភាវៈ ស្វ័យ ជីព   មាន ឬ ស   រុក្ខជាតិ ធ្វើ រស្មី សំយោគ,លក្ខណៈ ខុសគ្នា នៃ ផ្សិត និង រុក្ខជាតិ   ផ្សិត   ផ្សិត បន្ត ពូជ តាមរយៈ ស្ប៉   ផ្សិត មិន ធ្វើ រស្មី សំយោគ   អុីប   វា រស់ នៅ កន្លែង សើម   រុក្ខជាតិ   បន្ត ពូជ ដោយ គ្រាប់   វា ត្រូវការធ្វើ រស្មី សំយោគ   វា រស់ នៅ កន្លែង ដែល មាន ពន្លឺ,125,183,28,39
AS,10C,Biology,S001,Q5,តើដំណាក់កាលទាំងពីរនៃវដ្ដជីវីតរបស់រុក្ខជាតិមានអ្វីខ្លះ? ចូររៀបរាប់។,"ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន 
- ដំណាក់កាលស្ប៉រ៉ូភីត គឺជារុក្ខជាតិផលិតស្ប៉។ វាជាកោសិកាតូចៗដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី 
-ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាម៉ែតូភីត។ ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាម៉ែតឈ្មោល និងកាម៉ែតញី ។ កាម៉ែតញី និង កាម៉ែតឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត។ បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រ៉ូភីត។ស្ប៉រ៉ូភីតផលិតស្ប៉លូតលាស់ក្នុងកាម៉ែតូភីត កាម៉ែតូភីតផលិតកាម៉ែតញី និងកាម៉ែតឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី។","ដំណាក់កាលស្ប៉រ៉ូភីត
-ដំណាក់កាល កាម៉ែតូភីត
+ ដំណាក់កាលស្ប៉រ៉ូភីត គឺរុក្ខជាតិផលិតស្ប៉
+ ដំណាក់កាល កាម៉ែតូភីត គឺ កាម៉ែតឈ្មោលនិងកាម៉ែតញី",8,15,2026,0.5333333333333333,2,ដំណាក់កាលស្ប៉រូ៉ភីត ដំណាក់កាល កាមែ៉តូភីត ដំណាក់កាលស្ប៉រូ៉ភីត គឺរុក្ខជាតិផលិតស្ប៉ ដំណាក់កាល កាមែ៉តូភីត គឺ កាមែ៉តឈ្មោលនិងកាមែ៉តញី,ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន ដំណាក់កាលស្ប៉រូ៉ភីត គឺជារុក្ខជាតិផលិតស្ប៉ វាជាកោសិកាតូច ដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាមែ៉តូភីត ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាមែ៉តឈ្មោល និងកាមែ៉តញី កាមែ៉តញី និង កាមែ៉តឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រូ៉ភីត ស្ប៉រូ៉ភីតផលិតស្ប៉លូតលាស់ក្នុងកាមែ៉តូភីត កាមែ៉តូភីតផលិតកាមែ៉តញី និងកាមែ៉តឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី,ដំណាក់កាល ស្ប៉រូ៉ ភីត   ដំណាក់កាល   កាមែ៉ តូភីត   ដំណាក់កាល ស្ប៉រូ៉ ភីត   គឺ រុក្ខជាតិ ផលិត ស្ប៉   ដំណាក់កាល   កាមែ៉ តូភីត   គឺ   កាមែ៉ត ឈ្មោល និង កាមែ៉ត ញី,ដំណាក់កាល   ទាំង ពីរ នៃ វដ្ដ ជីវិត របស់ រុក្ខជាតិ មាន   ដំណាក់កាល ស្ប៉រូ៉ ភីត   គឺជា រុក្ខជាតិ ផលិត ស្ប៉   វា ជា កោសិកា តូច   ដែល អាច លូតលាស់ ជាសារ ពាង្គកាយ ថ្មី   ស្ប៉ លូតលាស់ ក្នុង ដំណាក់កាល ផ្សេង ទៀត នៃ រុក្ខជាតិ   ហៅ ថា កាមែ៉ តូភីត   ក្នុង ដំណាក់កាល នៃ រុក្ខជាតិ ផលិត កោសិកា ភេទ ពីរ បែប   គឺ កាមែ៉ត ឈ្មោល   និង កាមែ៉ត ញី   កាមែ៉ត ញី   និង   កាមែ៉ត ឈ្មោល លាយ ចូល គ្នា   បង្កើត បានជា សុី កូត   បន្ទាប់មក ទៀត   សុី កូត លូតលាស់ ទៅជា ស្ប៉រូ៉ ភីត   ស្ប៉រូ៉ ភីត ផលិត ស្ប៉លូតលាស់ ក្នុង កាមែ៉ តូភីត   កាមែ៉ តូភីត ផលិត កាមែ៉ត ញី   និង កាមែ៉ត ឈ្មោល   ហើយ វដ្ដ ផ្ដើម សារជាថ្មី,127,457,22,92
AS,10C,Biology,S002,Q1,តើអាមីបរស់នៅកន្លែងណា ?វាបង្កជំងឺអ្វី?,"អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត","អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ។
វាបង្កជំងឺដូចជា
ជំងឺរាគមួល
ធ្វើឲ្យយើងចុកពោះដោយផឹកទឹកមិនស្អាត",8,8,2026,1.0,4,អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ វាបង្កជំងឺដូចជា ជំងឺរាគមួល ធ្យ្វើឲយើងចុកពោះដោយផឹកទឹកមិនស្អាត,អាមីបរស់នៅកន្លែងដូចជាស្ទឹងបឹងអូរត្រពាំងទន្លេទឹកជ្រោះ វាបង្កជំងឺដូចជា ជំងឺរាគមួល ធ្យ្វើឲយើងចុកពោះដោយផឹកទឹកមិនស្អាត,អាមីប រស់ នៅ កន្លែង ដូចជា ស្ទឹង បឹង អូរ ត្រពាំង ទន្លេ ទឹកជ្រោះ   វា បង្ក ជំងឺ ដូចជា   ជំងឺ រាគមួល   ធ្យ្វើឲ យើង ចុក ពោះ ដោយ ផឹក ទឹក មិន ស្អាត,អាមីប រស់ នៅ កន្លែង ដូចជា ស្ទឹង បឹង អូរ ត្រពាំង ទន្លេ ទឹកជ្រោះ   វា បង្ក ជំងឺ ដូចជា   ជំងឺ រាគមួល   ធ្យ្វើឲ យើង ចុក ពោះ ដោយ ផឹក ទឹក មិន ស្អាត,113,113,26,26
AS,10C,Biology,S002,Q2,តើគេចែកប្រូទីសជាប៉ុន្មានក្រុម?អ្វីខ្លះ? ,"ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា 
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយជើងបញ្ឆោត: អាមីប
+ប្រូតូសូអ៊ែផ្លាស់ទីដោយផ្លាសែល : សាឌីយ៉ា
+ប្រូតូសូអ៊ែបន្តពូជតាមរយ:ស្ប៉ :ស្ប៉រ៉ូសូអ៊ែ។","គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ 
-ប្រូតូសូអ៊ែ ផ្លាស់ទីតាមរយៈស្ប៉(ប្លាស្លូស្យូម)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយរោមញ័រ(ប៉ារ៉ាមេសុី)
-ប្រូតូសូអ៊ែ ផ្លាស់ទីដោយជើងបញ្ឆោត(អាមីប)",3,8,2026,0.375,2,គេចែកប្រូទីសសត្វជា 4 ក្រុមគឺ ប្រូតូសូអែ៊ ផ្លាស់ទីតាមរយៈស្ប៉ ប្លាស្លូស្យូម ប្រូតូសូអែ៊ ផ្លាស់ទីដោយរោមញ័រ បា៉រា៉មេសុី ប្រូតូសូអែ៊ ផ្លាស់ទីដោយជើងបញ្ឆោត អាមីប,ប្រូទីសសត្វចែកជា 4 ក្រុមតាមរបៀបរស់នៅនឹងផ្លាស់ទីរបស់វា ប្រូតូសូអែ៊ផ្លាស់ទីដោយជើងបញ្ឆោត អាមីប ប្រូតូសូអែ៊ផ្លាស់ទីដោយផ្លាសែល សាឌីយា៉ ប្រូតូសូអែ៊បន្តពូជតាមរយ ស្ប៉ ស្ប៉រូ៉សូអែ៊,គេ ចែក ប្រូទី ស សត្វ ជា   4   ក្រុម គឺ   ប្រូតូ សូអែ៊   ផ្លាស់ទី តាមរយៈ ស្ប៉   ប្លាស្លូស្យូម   ប្រូតូ សូអែ៊   ផ្លាស់ទី ដោយ រោម ញ័រ   បា៉រា៉ មេសុី   ប្រូតូ សូអែ៊   ផ្លាស់ទី ដោយ ជើង បញ្ឆោត   អាមីប,ប្រូទី ស សត្វ ចែក ជា   4   ក្រុម តាម របៀប រស់ នៅ នឹង ផ្លាស់ទី របស់ វា   ប្រូតូ សូអែ៊ ផ្លាស់ទី ដោយ ជើង បញ្ឆោត   អាមីប   ប្រូតូ សូអែ៊ ផ្លាស់ទី ដោយ ផ្លាសែល   សាឌីយា៉   ប្រូតូ សូអែ៊ បន្ត ពូជ តាមរយ   ស្ប៉   ស្ប៉រូ៉ សូអែ៊,154,171,30,36
AS,10C,Biology,S002,Q3,តើផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងអ្វី? ស្រូបសារធាតុចិញ្ចឹមតាមរយៈអ្វី?,ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា។ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ:អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ។,"ផ្សិតមានរូបរាងខុសៗគ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា។
+ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី។",8,10,2026,0.8,3,ផ្សិតមានរូបរាងខុស គ្នាអាស្រ័យទៅលើការតម្រៀបអុីបរបស់វា ហើយវាស្រូបសារធាតុចិញ្ចិមតាមរយៈអុីបក្រោមដី,ផ្សិតមានរូបរាងខុស គ្នាអាស្រ័យនឹងការតម្រៀបអុីបរបស់វា ផ្សិតស្រូបសារធាតុចិញ្ចឹមតាមរយ អុីបដែលដុះចូលទៅក្នុងប្រភពអាហារ,ផ្សិត មាន រូបរាង ខុស   គ្នា អាស្រ័យ ទៅ លើ ការតម្រៀប អុីប របស់ វា   ហើយ វា ស្រូប សារធាតុ ចិញ្ចិម តាមរយៈ អុីប ក្រោម ដី,ផ្សិត មាន រូបរាង ខុស   គ្នា អាស្រ័យ នឹង ការតម្រៀប អុីប របស់ វា   ផ្សិត ស្រូប សារធាតុ ចិញ្ចឹម តាមរយ   អុីប ដែល ដុះ ចូល ទៅក្នុង ប្រភព អាហារ,94,112,21,23
AS,10C,Biology,S002,Q4,ចូរប្រៀបធៀបលក្ខណៈខុសគ្នានៃផ្សិត និងរុក្ខជាតិ។,"លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ
+ផ្សិត 
-ផ្សិតបន្តពូជតាមរយៈស្ប៉
-ផ្សិតមិនធ្វើរស្មីសំយោគ
-អុីប
-វារស់នៅកន្លែងសើម
+រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-វាត្រូវការធ្វើរស្មីសំយោគ
-វារស់នៅកន្លែងដែលមានពន្លឺ","ផ្សិត
-បន្តពូជតាមរយៈស្ប៉
-ភាវៈរស់បជីព
-មានអុីប
-អុីបក្រោមដី
រុក្ខជាតិ
-បន្តពូជដោយគ្រាប់
-ភាវៈស្វ័យជីព
-មានឬស
-រុក្ខជាតិធ្វើរស្មីសំយោគ",5,12,2026,0.4166666666666667,2,ផ្សិត បន្តពូជតាមរយៈស្ប៉ ភាវៈរស់បជីព មានអុីប អុីបក្រោមដី រុក្ខជាតិ បន្តពូជដោយគ្រាប់ ភាវៈស្វ័យជីព មានឬស រុក្ខជាតិធ្វើរស្មីសំយោគ,លក្ខណៈខុសគ្នានៃផ្សិតនិងរុក្ខជាតិ ផ្សិត ផ្សិតបន្តពូជតាមរយៈស្ប៉ ផ្សិតមិនធ្វើរស្មីសំយោគ អុីប វារស់នៅកន្លែងសើម រុក្ខជាតិ បន្តពូជដោយគ្រាប់ វាត្រូវការធ្វើរស្មីសំយោគ វារស់នៅកន្លែងដែលមានពន្លឺ,ផ្សិត   បន្ត ពូជ តាមរយៈ ស្ប៉   ភាវៈ រស់ បជីព   មាន អុីប   អុីប ក្រោម ដី   រុក្ខជាតិ   បន្ត ពូជ ដោយ គ្រាប់   ភាវៈ ស្វ័យ ជីព   មាន ឬ ស   រុក្ខជាតិ ធ្វើ រស្មី សំយោគ,លក្ខណៈ ខុសគ្នា នៃ ផ្សិត និង រុក្ខជាតិ   ផ្សិត   ផ្សិត បន្ត ពូជ តាមរយៈ ស្ប៉   ផ្សិត មិន ធ្វើ រស្មី សំយោគ   អុីប   វា រស់ នៅ កន្លែង សើម   រុក្ខជាតិ   បន្ត ពូជ ដោយ គ្រាប់   វា ត្រូវការធ្វើ រស្មី សំយោគ   វា រស់ នៅ កន្លែង ដែល មាន ពន្លឺ,125,183,28,39
AS,10C,Biology,S002,Q5,តើដំណាក់កាលទាំងពីរនៃវដ្ដជីវីតរបស់រុក្ខជាតិមានអ្វីខ្លះ? ចូររៀបរាប់។,"ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន 
- ដំណាក់កាលស្ប៉រ៉ូភីត គឺជារុក្ខជាតិផលិតស្ប៉។ វាជាកោសិកាតូចៗដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី 
-ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាម៉ែតូភីត។ ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាម៉ែតឈ្មោល និងកាម៉ែតញី ។ កាម៉ែតញី និង កាម៉ែតឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត។ បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រ៉ូភីត។ស្ប៉រ៉ូភីតផលិតស្ប៉លូតលាស់ក្នុងកាម៉ែតូភីត កាម៉ែតូភីតផលិតកាម៉ែតញី និងកាម៉ែតឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី។","ដំណាក់កាលស្ប៉រ៉ូភីត
-ដំណាក់កាល កាម៉ែតូភីត
+ ដំណាក់កាលស្ប៉រ៉ូភីត គឺរុក្ខជាតិផលិតស្ប៉
+ ដំណាក់កាល កាម៉ែតូភីត គឺ កាម៉ែតឈ្មោលនិងកាម៉ែតញី",4,15,2026,0.26666666666666666,1,ដំណាក់កាលស្ប៉រូ៉ភីត ដំណាក់កាល កាមែ៉តូភីត ដំណាក់កាលស្ប៉រូ៉ភីត គឺរុក្ខជាតិផលិតស្ប៉ ដំណាក់កាល កាមែ៉តូភីត គឺ កាមែ៉តឈ្មោលនិងកាមែ៉តញី,ដំណាក់កាល ទាំងពីរនៃវដ្ដជីវិតរបស់រុក្ខជាតិមាន ដំណាក់កាលស្ប៉រូ៉ភីត គឺជារុក្ខជាតិផលិតស្ប៉ វាជាកោសិកាតូច ដែលអាចលូតលាស់ជាសារពាង្គកាយថ្មី ស្ប៉លូតលាស់ក្នុងដំណាក់កាលផ្សេងទៀតនៃរុក្ខជាតិ ហៅថាកាមែ៉តូភីត ក្នុងដំណាក់កាលនៃរុក្ខជាតិផលិតកោសិកាភេទពីរបែប គឺកាមែ៉តឈ្មោល និងកាមែ៉តញី កាមែ៉តញី និង កាមែ៉តឈ្មោលលាយចូលគ្នា បង្កើតបានជាសុីកូត បន្ទាប់មកទៀត សុីកូតលូតលាស់ទៅជាស្ប៉រូ៉ភីត ស្ប៉រូ៉ភីតផលិតស្ប៉លូតលាស់ក្នុងកាមែ៉តូភីត កាមែ៉តូភីតផលិតកាមែ៉តញី និងកាមែ៉តឈ្មោល ហើយវដ្ដផ្ដើមសារជាថ្មី,ដំណាក់កាល ស្ប៉រូ៉ ភីត   ដំណាក់កាល   កាមែ៉ តូភីត   ដំណាក់កាល ស្ប៉រូ៉ ភីត   គឺ រុក្ខជាតិ ផលិត ស្ប៉   ដំណាក់កាល   កាមែ៉ តូភីត   គឺ   កាមែ៉ត ឈ្មោល និង កាមែ៉ត ញី,ដំណាក់កាល   ទាំង ពីរ នៃ វដ្ដ ជីវិត របស់ រុក្ខជាតិ មាន   ដំណាក់កាល ស្ប៉រូ៉ ភីត   គឺជា រុក្ខជាតិ ផលិត ស្ប៉   វា ជា កោសិកា តូច   ដែល អាច លូតលាស់ ជាសារ ពាង្គកាយ ថ្មី   ស្ប៉ លូតលាស់ ក្នុង ដំណាក់កាល ផ្សេង ទៀត នៃ រុក្ខជាតិ   ហៅ ថា កាមែ៉ តូភីត   ក្នុង ដំណាក់កាល នៃ រុក្ខជាតិ ផលិត កោសិកា ភេទ ពីរ បែប   គឺ កាមែ៉ត ឈ្មោល   និង កាមែ៉ត ញី   កាមែ៉ត ញី   និង   កាមែ៉ត ឈ្មោល លាយ ចូល គ្នា   បង្កើត បានជា សុី កូត   បន្ទាប់មក ទៀត   សុី កូត លូតលាស់ ទៅជា ស្ប៉រូ៉ ភីត   ស្ប៉រូ៉ ភីត ផលិត ស្ប៉លូតលាស់ ក្នុង កាមែ៉ តូភីត   កាមែ៉ តូភីត ផលិត កាមែ៉ត ញី   និង កាមែ៉ត ឈ្មោល   ហើយ វដ្ដ ផ្ដើម សារជាថ្មី,127,457,22,92
